wp_item_id,title,evaluation_type,swd_celex,published_date,delivered,note
WP050,Fitness check on the legislative acquis in the digital policy area,fitness_check,,,,
WP051,Fitness check on energy security architecture,fitness_check,,,,
WP052,Fitness check on market access in inland waterway transport,fitness_check,,,,
WP053,Fitness Check of EU airports legislation,fitness_check,,,,
WP054,Evaluation of the Public Procurement Directives,evaluation,,,,
WP055,Evaluation of EU rules on medical devices and in vitro diagnostics,evaluation,,,,
WP056,Evaluation of the National Emission Reduction Commitments Directive,evaluation,,,,
WP057,Evaluation of radioactive waste directives,evaluation,,,,
WP058,Evaluation of the Pressure Equipment Directive and the Simple Pressure Vessels Directive,evaluation,,,,
WP059,Evaluation of the EU Lifts Directive,evaluation,,,,
WP060,Evaluation of the Directive on Unfair trading practices in the agricultural and food supply chain,evaluation,,,,
WP061,"Evaluation on the Land use, land-use change and forestry (LULUCF) Regulation",evaluation,,,,
WP062,Evaluation of the Fishing Vessel Safety Directive,evaluation,,,,
WP063,Evaluation of the Geo-blocking Regulation (GBR),evaluation,,,,
WP064,Evaluation of State aid rules for banks in difficulties,evaluation,,,,
WP065,Evaluation of the Guarantee Notice,evaluation,,,,
WP066,Evaluation of the Anti-tax Avoidance Directive (ATAD),evaluation,,,,
WP067,Evaluation of EU Rules of Origin,evaluation,,,,
WP068,Evaluation of the Defence Transfers Directive,evaluation,,,,
WP069,Evaluation of the Firearms Directive,evaluation,,,,
WP070,Evaluation on the Innovation Fund,evaluation,,,,
WP071,Evaluation on the Modernisation Fund,evaluation,,,,
WP072,Evaluation of Regulation (EU) 2016/796 of EU Agency for Railways,evaluation,,,,
WP073,Ex-post evaluation of Connecting Europe Facility (CEF) 2014-2020,interim_evaluation,,,,
WP074,"Ex-post evaluation of Asylum, Migration, and Integration Fund (AMIF) 2014-2020",interim_evaluation,,,,
WP075,Ex-post evaluation of the Internal Security Fund – Borders and Visa (ISF-BV) 2014-2020,interim_evaluation,,,,
WP076,Ex-post evaluation of the Internal Security Fund – Police (ISF-P) 2014-2020,interim_evaluation,,,,
WP077,Ex-post evaluation of the European Regional Development Fund and the Cohesion Fund 2014-2020,interim_evaluation,,,,
WP078,Ex post evaluation of the Fund for European Aid to the Most Deprived (FEAD) 2014-2020,interim_evaluation,,,,
WP079,Ex post evaluation of European Social Fund and Youth Employment Initiative 2014-2020,interim_evaluation,,,,
WP080,Interim Evaluation of the European Defence Fund,interim_evaluation,,,,
WP081,Interim evaluation of the Customs 2021-2027 programme,interim_evaluation,,,,
WP082,Interim evaluation of the Customs Control Equipment Instrument (CCEI) programme,interim_evaluation,,,,
WP083,Interim Evaluation of the Fiscalis 2021-2027 programme,interim_evaluation,,,,
WP084,Interim evaluation of the Horizon Europe framework programme for Research and Innovation,interim_evaluation,,,,
WP085,"Mid-term evaluation of the European Regional Development Fund, the Cohesion Fund and the Just Transition Fund 2021-2027",interim_evaluation,,,,
WP086,Mid-term evaluation of the European Social Fund Plus 2021-2027,interim_evaluation,,,,
