evaluation_id,agenda_item_id,evaluation_type,swd_celex,published_date,delivered,as_of_date
EV0001,AI0053,fitness_check,,,False,2026-06-22
EV0002,AI0054,fitness_check,,,False,2026-06-22
EV0003,AI0055,fitness_check,,,False,2026-06-22
EV0004,AI0056,fitness_check,,,False,2026-06-22
EV0005,AI0057,evaluation,,,False,2026-06-22
EV0006,AI0058,evaluation,,,False,2026-06-22
EV0007,AI0059,evaluation,,,False,2026-06-22
EV0008,AI0060,evaluation,,,False,2026-06-22
EV0009,AI0061,evaluation,,,False,2026-06-22
EV0010,AI0062,evaluation,,,False,2026-06-22
EV0011,AI0063,evaluation,,,False,2026-06-22
EV0012,AI0064,evaluation,,,False,2026-06-22
EV0013,AI0065,evaluation,,,False,2026-06-22
EV0014,AI0066,evaluation,,,False,2026-06-22
EV0015,AI0067,evaluation,,,False,2026-06-22
EV0016,AI0068,evaluation,,,False,2026-06-22
EV0017,AI0069,evaluation,,,False,2026-06-22
EV0018,AI0070,evaluation,,,False,2026-06-22
EV0019,AI0071,evaluation,,,False,2026-06-22
EV0020,AI0072,evaluation,,,False,2026-06-22
EV0021,AI0073,evaluation,,,False,2026-06-22
EV0022,AI0074,evaluation,,,False,2026-06-22
EV0023,AI0075,evaluation,,,False,2026-06-22
EV0024,AI0076,evaluation,,,False,2026-06-22
EV0025,AI0077,evaluation,,,False,2026-06-22
EV0026,AI0078,evaluation,,,False,2026-06-22
EV0027,AI0079,evaluation,,,False,2026-06-22
EV0028,AI0080,evaluation,,,False,2026-06-22
EV0029,AI0081,evaluation,,,False,2026-06-22
EV0030,AI0082,evaluation,,,False,2026-06-22
EV0031,AI0083,interim_evaluation,,,False,2026-06-22
EV0032,AI0084,interim_evaluation,,,False,2026-06-22
EV0033,AI0085,interim_evaluation,,,False,2026-06-22
EV0034,AI0086,interim_evaluation,,,False,2026-06-22
EV0035,AI0087,interim_evaluation,,,False,2026-06-22
EV0036,AI0088,interim_evaluation,,,False,2026-06-22
EV0037,AI0089,interim_evaluation,,,False,2026-06-22
