procedure_ref_id,agenda_item_id,interinstitutional_ref,process_id_ep,procedure_type,com_reference,celex,extraction_method,match_confidence
PR0001,AI0087,2011/0314(CNS),2011-0314,CNS,COM(2011)714,52011PC0714,regex_interleaved,1.0
PR0002,AI0088,2011/0391(COD),2011-0391,COD,COM(2011)827,52011PC0827,regex_interleaved,1.0
PR0003,AI0089,2012/0164(APP),2012-0164,APP,COM(2012)336,52012PC0336,regex_interleaved,1.0
PR0004,AI0090,2015/0250(NLE),2015-0250,NLE,COM(2015)603,52015PC0603,regex_interleaved,1.0
PR0005,AI0091,2017/0115(CNS),2017-0115,CNS,COM(2017)276,52017PC0276,regex_interleaved,1.0
PR0006,AI0092,2017/0288(COD),2017-0288,COD,COM(2017)647,52017PC0647,regex_interleaved,1.0
PR0007,AI0093,2017/0333(APP),2017-0333,APP,COM(2017)827,52017PC0827,regex_interleaved,1.0
PR0008,AI0094,2018/0063B(COD),2018-0063B,COD,COM(2018)135,52018PC0135,regex_interleaved,1.0
PR0009,AI0095,2018/0164(CNS),2018-0164,CNS,COM(2018)329,52018PC0329,regex_interleaved,1.0
PR0010,AI0096,2018/0171(COD),2018-0171,COD,COM(2018)339,52018PC0339,regex_interleaved,1.0
PR0011,AI0097,2018/0212(COD),2018-0212,COD,COM(2018)387,52018PC0387,regex_interleaved,1.0
PR0012,AI0098,2019/0017(COD),2019-0017,COD,COM(2019)38,52019PC0038,regex_interleaved,1.0
PR0013,AI0099,2020/0022(CNS),2020-0022,CNS,COM(2020)49,52020PC0049,regex_interleaved,1.0
PR0014,AI0100,2020/0264(COD),2020-0264,COD,COM(2020)577,52020PC0577,regex_interleaved,1.0
PR0015,AI0101,2021/0400(COD),2021-0400,COD,COM(2021)769,52021PC0769,regex_interleaved,1.0
PR0016,AI0102,2022/0160(COD),2022-0160,COD,COM(2022)222,52022PC0222,regex_interleaved,1.0
PR0017,AI0103,2023/0133(COD),2023-0133,COD,COM(2023)232,52023PC0232,regex_interleaved,1.0
PR0018,AI0104,2018/0329(COD),2018-0329,COD,COM(2018)634,52018PC0634,regex_interleaved,1.0
PR0019,AI0105,2021/0427(COD),2021-0427,COD,COM(2021)890,52021PC0890,regex_interleaved,1.0
PR0020,AI0106,2021/0401(CNS),2021-0401,CNS,COM(2021)752,52021PC0752,regex_interleaved,1.0
PR0021,AI0107,2024/0094(NLE),2024-0094,NLE,COM(2024)174,,regex_interleaved,1.0
PR0022,AI0108,2012/0196(COD),2012-0196,COD,COM(2012)403,52012PC0403,regex_interleaved,1.0
PR0023,AI0109,2015/0093(COD),2015-0093,COD,COM(2015)177,52015PC0177,regex_interleaved,1.0
PR0024,AI0110,2022/0348(COD),2022-0348,COD,COM(2022)563,52022PC0563,regex_interleaved,1.0
PR0025,AI0111,2023/0449(COD),2023-0449,COD,COM(2023)771,52023PC0771,regex_interleaved,1.0
PR0026,AI0112,2008/0140(CNS),2008-0140,CNS,COM(2008)426,52008PC0426,regex_interleaved,1.0
PR0027,AI0113,2011/0073(COD),2011-0073,COD,COM(2011)137,52011PC0137,regex_interleaved,1.0
PR0028,AI0113,2008/0090(COD),2008-0090,COD,COM(2008)229,52008PC0229,regex_interleaved,1.0
PR0029,AI0114,2016/0400B(COD),2016-0400B,COD,COM(2016)799,52016PC0799,regex_interleaved,1.0
PR0030,AI0115,2017/0003(COD),2017-0003,COD,COM(2017)10,52017PC0010,regex_interleaved,1.0
PR0031,AI0116,2017/0035(COD),2017-0035,COD,COM(2017)85,52017PC0085,regex_interleaved,1.0
PR0032,AI0117,2018/0044(COD),2018-0044,COD,COM(2018)96,52018PC0096,regex_interleaved,1.0
PR0033,AI0118,2022/0303(COD),2022-0303,COD,COM(2022)496,52022PC0496,regex_interleaved,1.0
PR0034,AI0119,2015/0302(NLE),2015-0302,NLE,JOIN(2015)36,52015JC0036,regex_interleaved,1.0
PR0035,AI0120,2022/0043(NLE),2022-0043,NLE,COM(2022)63,52022PC0063,regex_interleaved,1.0
PR0036,AI0121,2022/0125(COD),2022-0125,COD,COM(2022)184,52022PC0184,regex_interleaved,1.0
PR0037,AI0122,2024/0059(COD),2024-0059,COD,COM(2024)301,52024PC0301,regex_interleaved,1.0
PR0038,AI0123,2024/0060(COD),2024-0060,COD,COM(2024)100,52024PC0100,regex_interleaved,1.0
