hearing_id,commissioner_id,commissioner_name,hearing_date,committees_responsible,committees_associated,outcome,source_url,evaluation_letter_url,written_questions_url,video_url
H23,CHR,Christophe Hansen,2024-11-04,AGRI,"ENVI, PECH",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25031/,,,
H22,GLE,Glenn Micallef,2024-11-04,CULT,"EMPL, LIBE, JURI",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25030/,,,
H07,DUB,Maroš Šefčovič,2024-11-04,"INTA, AFCO","AFET, IMCO, PETI, DEVE, JURI",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25029/,,,
H19,APO,Apostolos Tzitzikostas,2024-11-04,TRAN,ENVI,approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25032/,,,
H24,EKA,Ekaterina Zaharieva,2024-11-05,ITRE,CULT,approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25034/,,,
H21,MAG,Magnus Brunner,2024-11-05,LIBE,DEVE,approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25038/,,,
H20,MIC,Michael McGrath,2024-11-05,"LIBE, IMCO, JURI","AFCO, CULT, BUDG, CONT, FEMM",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25033/,,,
H09,DUP,Dubravka Šuica,2024-11-05,AFET,"EMPL, LIBE, DROI",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25036/,,,
H17,JES,Jessika Roswall,2024-11-05,ENVI,"IMCO, ITRE, AGRI",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25037/,,,
H15,DAN,Dan Jørgensen,2024-11-05,"ITRE, EMPL","ENVI, REGI, IMCO, ECON",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25035/,,,
H13,OLI,Olivér Várhelyi,2024-11-06,"ENVI, AGRI","ITRE, SANT",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25044/,,,
H16,COS,Costas Kadis,2024-11-06,PECH,ENVI,approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25041/,,,
H26,AND,Andrius Kubilius,2024-11-06,"AFET, ITRE","TRAN, SEDE",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25043/,,,
H12,JOZ,Jozef Síkela,2024-11-06,DEVE,"AFET, FEMM, INTA, LIBE",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25042/,,,
H10,HAD,Hadja Lahbib,2024-11-06,"DEVE, FEMM, LIBE, ENVI","EMPL, SANT",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25039/,,,
H25,MAS,Maria Luís Albuquerque,2024-11-06,ECON,"IMCO, LIBE",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25040/,,,
H14,MAR,Marta Kos,2024-11-07,AFET,"LIBE, AFCO, DROI",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25046/,,,
H11,WOP,Wopke Hoekstra,2024-11-07,"ENVI, ITRE, ECON","EMPL, TRAN, FISC",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25045/,,,
H18,PIO,Piotr Serafin,2024-11-07,"BUDG, CONT","LIBE, JURI",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25047/,,,
H08,VAL,Valdis Dombrovskis,2024-11-07,"ECON, JURI","BUDG, AFCO, EMPL, IMCO, FISC",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25048/,,,
H06,ROS,Roxana Mînzatu,2024-11-12,"EMPL, CULT","FEMM, LIBE",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25051/,,,
H05,RAF,Raffaele Fitto,2024-11-12,REGI,"TRAN, BUDG, AGRI, PECH, EMPL, ECON",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25049/,,,
H04,KOS,Kaja Kallas,2024-11-12,AFET,"DEVE, INTA, FEMM, SEDE, DROI",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25050/,,,
H03,STE,Stéphane Séjourné,2024-11-12,"ITRE, IMCO, ENVI, ECON","INTA, EMPL, BUDG, JURI",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25052/,,,
H02,FIT,Teresa Ribera,2024-11-12,"ENVI, ECON, ITRE","IMCO, EMPL, TRAN, REGI, AGRI",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25053/,,,
H01,SEJ,Henna Virkkunen,2024-11-12,"ITRE, IMCO","LIBE, JURI, SEDE, CULT",approved,https://www.europarl.europa.eu/news/en/press-room/20241029IPR25054/,,,
