mep_id,full_name,last_name,first_name,country,country_name,ep_party_group,ep_party_group_full,national_party,vote,vote_numeric,vote_date
7511,Alexandraki,Alexandraki,Galato,EL,Greece,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7683,Axinia,Axinia,Adrian-George,RO,Romania,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7561,Bartulica,Bartulica,Stephen Nikola,HR,Croatia,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
4978,Berlato,Berlato,Sergio,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
5112,Bielan,Bielan,Adam,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7638,Bocheński,Bocheński,Tobiasz,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
6895,Brudziński,Brudziński,Joachim Stanisław,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7639,Buda Waldemar,Buda,Waldemar,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7662,Cavedagna,Cavedagna,Stefano,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7659,Ciccioli,Ciccioli,Carlo,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7716,Ciriani,Ciriani,Alessandro,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7660,Crosetto,Crosetto,Giovanni,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7661,Donazzan,Donazzan,Elena,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7642,Dworczyk,Dworczyk,Michał,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7657,Erixon,Erixon,Dick,SE,Sweden,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
5982,Fidanza,Fidanza,Carlo,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
6998,Fiocchi,Fiocchi,Pietro,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7250,Fragkos,Fragkos,Emmanouil,EL,Greece,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7663,Gambino,Gambino,Alberico,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7544,Geadi,Geadi,Geadis,CY,Cyprus,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7179,Gemma,Gemma,Chiara,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7620,Gosiewska,Gosiewska,Małgorzata,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7713,Inselvini,Inselvini,Paolo,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
6909,Jaki,Jaki,Patryk,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7621,Kamiński,Kamiński,Mariusz,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
6866,Kanko,Kanko,Assita,BE,Belgium,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7458,Kartheiser,Kartheiser,Fernand,LU,Luxembourg,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7476,Kols,Kols,Rihards,LV,Latvia,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7403,Krutílek,Krutílek,Ondřej,CZ,Czechia,ECR,European Conservatives and Reformists,,for,1,2024-11-27
6886,Madison,Madison,Jaak,EE,Estonia,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7718,Magoni,Magoni,Lara,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7643,Maląg,Maląg,Marlena,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
4810,Mantovani,Mantovani,Mario,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7481,Maréchal,Maréchal,Marion,FR,France,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7209,Milazzo,Milazzo,Giuseppe,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7625,Mularczyk,Mularczyk,Arkadiusz,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7646,Müller,Müller,Piotr,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7315,Nesci,Nesci,Denis,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7623,Obajtek,Obajtek,Daniel,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7652,Ozdoba,Ozdoba,Jacek,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7482,Peltier,Peltier,Guillaume,FR,France,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7719,Picaro,Picaro,Michele,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7681,Piperea,Piperea,Gheorghe,RO,Romania,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7714,Polato,Polato,Daniele,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7465,Pozņaks,Pozņaks,Reinis,LV,Latvia,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7205,Procaccini,Procaccini,Nicola,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7670,Razza,Razza,Ruggero,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7157,Ruissen,Ruissen,Bert-Jan,NL,Netherlands,ECR,European Conservatives and Reformists,,abstain,0,2024-11-27
6938,Rzońca,Rzońca,Bogdan,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7679,Sberna,Sberna,Antonella,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7675,Squarta,Squarta,Marco,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7587,Storm,Storm,Kristoffer,DK,Denmark,ECR,European Conservatives and Reformists,,abstain,0,2024-11-27
7685,Sturdza,Sturdza,Şerban Dimitrie,RO,Romania,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
6946,Szydło,Szydło,Beata,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7265,Tarczyński,Tarczyński,Dominik,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7682,Teodorescu,Teodorescu,Georgiana,RO,Romania,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7656,Timgren,Timgren,Beatrice,SE,Sweden,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
5878,Tomaszewski,Tomaszewski,Waldemar,LT,Lithuania,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7723,Torselli,Torselli,Francesco,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7485,Trochu,Trochu,Laurence,FR,France,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7369,Tynkkynen,Tynkkynen,Sebastian,FI,Finland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7680,Târziu,Târziu,Claudiu-Richard,RO,Romania,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7733,Valchev,Valchev,Ivaylo,BG,Bulgaria,ECR,European Conservatives and Reformists,,abstain,0,2024-11-27
7441,Van Dijck,Van Dijck,Kris,BE,Belgium,ECR,European Conservatives and Reformists,,for,1,2024-11-27
6683,Van Overtveldt,Van Overtveldt,Johan,BE,Belgium,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7665,Ventola,Ventola,Francesco,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7377,Veryga,Veryga,Aurelijus,LT,Lithuania,ECR,European Conservatives and Reformists,,for,1,2024-11-27
7712,Vivaldini,Vivaldini,Mariateresa,IT,Italy,ECR,European Conservatives and Reformists,,for,1,2024-11-27
6930,Vondra,Vondra,Alexandr,CZ,Czechia,ECR,European Conservatives and Reformists,,abstain,0,2024-11-27
6945,Vrecionová,Vrecionová,Veronika,CZ,Czechia,ECR,European Conservatives and Reformists,,for,1,2024-11-27
6808,Weimers,Weimers,Charlie,SE,Sweden,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
6515,Wiśniewska,Wiśniewska,Jadwiga,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
7617,Wąsik,Wąsik,Maciej,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
6962,Zalewska,Zalewska,Anna,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
5598,Zīle,Zīle,Roberts,LV,Latvia,ECR,European Conservatives and Reformists,,for,1,2024-11-27
6522,Złotowski,Złotowski,Kosma,PL,Poland,ECR,European Conservatives and Reformists,,against,-1,2024-11-27
