position_id,party_id,statement_id,position_label,position_numeric,source_type,text_snippet,source_link
EUP0001,ALDE,1,No opinion,,,,
EUP0002,ALDE,2,Tend to disagree,-1,2024 EP election manifesto of the party,"To create jobs and growth opportunities we must prioritise investments in skills, and digital and sustainable technologies, put trade and the single market back on the agenda and foster innovation.",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824919
EUP0003,ALDE,3,Tend to agree,1,2024 EP election manifesto of the party,The current inflation and debt accumulated due to the pandemic and energy crisis are challenges that require targeted investment and healthy budgetary management by the EU and Member States. European liberals will deliver a resilient EU economic system through pragmatic and enforceable budgetary policies geared towards smart investments and budgetary discipline.,https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824919
EUP0004,ALDE,4,No opinion,,,,
EUP0005,ALDE,5,No opinion,,,,
EUP0006,ALDE,6,No opinion,,,,
EUP0007,ALDE,7,Completely agree,2,2024 EP election manifesto of the party,"Legalise and recognise same-sex marriage and rainbow families, and ensure their rights, including free movement within the EU, are enshrined in EU legislation.",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824919
EUP0008,ALDE,8,No opinion,,,,
EUP0009,ALDE,9,Tend to disagree,-1,2024 EP election manifesto of the party,"Prioritise integration, including through EU funds, to support policies such as the provision of basic skills, applying zero-tolerance for discrimination, promoting inter-cultural dialogue and language learning, as well as buddy schemes to facilitate integration at a micro-level.",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824919
EUP0010,ALDE,10,Completely disagree,-2,2024 EP election manifesto of the party,"We must secure equal and safe access to sexual and reproductive health and rights, such as abortion and other gender-based care and incorporate the right to abortion into the EU Charter of Fundamental Rights",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824919
EUP0011,ALDE,11,Tend to disagree,-1,2024 EP election manifesto of the party,"We need to tackle irregular migration and make the return and readmission policy more efficient to address the inhuman consequences for migrants and disruptive effects on our countries. At the same time, we must implement fast lanes (EU blue card) to attract highly skilled specialists from outside Europe in key sectors to combat labour shortages. Migration towards the EU has always existed and will always be part of our societies. We provide shelter to those who are fleeing war or persecution. We need to fight against human traffickers and smugglers, tackle irregular migration and make the return and readmission policy more efficient to address the inhuman consequences for migrants and disruptive effects on our countries. Additionally, with a decreasing and ageing population and worsening labour shortages, the EU must address headstrong the integration of migrants as part of a successful migration policy. We stand against populist anti-migrant rhetoric and policies that violate our liberal values, and worsen our competitiveness in the global labour market. ; Simultaneously reduce push and pull factors of migration by developing effective partnership programmes prioritising job creation and climate change mitigation on the one hand, and implementing objective information campaigns about the realities of migration to counter disinformation provided by smugglers, on the other hand",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824919
EUP0012,ALDE,12,Tend to agree,1,Other (please specify),"Renew Europe CoR President François Decoster and Vice-Presidents Jasna Gabric and Kate Feeney welcomed the decision. “It’s sad that we still need gender quotas in the 21st century, but without them there would be even less women in politics than there are now. And even current numbers are not something to be happy about. That’s why the Simone Veil Pact is so necessary,” said Gabric. Proven strategies for increasing female political participation and representation in political parties: Introduce voluntary quotas or other measures aimed at directly increasing gender parity",https://www.aldeparty.eu/renew_europe_cor_signs_the_simone_veil_pact_for_gender_equality https://www.aldeparty.eu/2024_call_to_action
EUP0013,ALDE,13,Neutral,0,2024 EP election manifesto of the party,"New EU resources from the Emissions Trading System (ETS), the Carbon Border Adjustment Mechanism and the international tax on multinationals should be fit for purpose and earmarked to the sustainable, resilient and digital transition, not just a way to fill gaps in the general budget. Enable decarbonisation for all types of transport, whether cargo or passenger, through infrastructure development, including the completion of missing cross-border transport connections, electrification of public transport and charging infrastructure in less densely populated areas, active mobility across national, regional, and local levels as well as using sustainable and innovative technologies to decarbonise the freight and heavy goods transport.",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1711557858/ALDE_Manifesto_2024-Your_Europe_your_Freedom.pdf?1711557858
EUP0014,ALDE,14,Tend to agree,1,2024 EP election manifesto of the party,"The cheapest energy is the energy we do not use. Accelerating the deployment of renewable and clean energies gives us freedom by empowering us to reduce our dependencies on external resources. lt is crucial for heating our homes, transportation, and water distribution. We must use the full spectrum of solutions in our hands in combination with and upholding the principle of technology neutrality to reduce emissions and find alternatives for existing ones. By doing so, we can fight climate change by reducing the use of fossil fuels and stimulate our economic growth creating jobs, fostering innovation, and making energy more affordable ; lnvest in all types of renewable, carbon-neutral, low-carbon and waste-based energy sources, including nuclear energy, complemented by carbon removal, capture and storage technologies. lncrease public and private collaboration and investments in grid capacity and storage. Embrace the use of nuclear power as a tool that can accelerate decarbonisation by reducing reliance on gas, oil and coal power, while strongly rejecting the idea of “green” natural gas",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824920
EUP0015,ALDE,15,No opinion,,,,
EUP0016,ALDE,16,Tend to agree,1,2024 EP election manifesto of the party,"Expand the EU Crimes list to include hate speech and hate crime, and include gender, sex, gender identity and sexual orientation and disabilities, alongside racism and xenophobia, as areas in which hate crime can manifest itself. Effectively prevent and prosecute criminal offences including child abuse, without thereby infringing the citizen’s right to privacy through imposing mandatory chat controls that would place every citizen under suspicion and violate end-to-end encryption. ; lncrease collaboration between Europol, Interpol and national law enforcement agencies through enhanced information and data exchange for all serious cross-border and organised crime. Strengthen Europol’s right to initiate new investigations and execute law enforcement activities in and with the Member States and to proactively engage in and handle cases on its own",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824919
EUP0017,ALDE,17,Tend to agree,1,2024 EP election manifesto of the party,Adapt fiscal rules that promote healthy and prudent fiscal policies and do not open up for Member States to spend beyond their means.,https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824920
EUP0018,ALDE,18,Tend to disagree,-1,2024 EP election manifesto of the party,"Provide equal opportunities for companies in taxation, while respecting national right to taxation. Member States are competing with each other for fiscal benefits that work for larger companies and undermine public spending. Simplify tax reporting arrangements and administration for workers and businesses operating across borders within the EU, and support the implementation of the Common Consolidated Corporate Tax Base (CCCTB), to create a fairer and simpler corporation tax system across Europe.",https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824921
EUP0019,ALDE,19,Neutral,0,2024 EP election manifesto of the party,Embrace the potential of new digital tools such as artificial intelligence to boost our economy and improve our lives. Foster a European-specific vision of artificial intelligence as a human-centric innovation that prevents authoritarian practices through rules to protect our fundamental rights.,https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824922
EUP0020,ALDE,20,Tend to disagree,-1,"Recent interviews, press releases and social media communication (from party, party leader and/or leading candidates)","The Treaty on European Union, signed in Maastricht on 7 February 1992, was a major step forward for European integration. By introducing EU citizenship, expanding the competencies of the European Parliament and envisaging the European single currency, it democratised the Union and prepared it for enlargement waves in 1995, 2004, 2007 and 2013. An ALDE-led Commission would put the Single Market, which is still the backbone of our competitiveness and ability to create jobs, back on the EU agenda. Advancing and modernising our Single Market is the only way to genuinely enhance Europe’s open strategic autonomy; through efficient regulation, increased economic integration and removal of all internal borders and existing barriers for products, services and public procurement, making sure our innovators can access venture capital and investor funds across Europe",https://www.aldeparty.eu/the_maastricht_treaty_s_anniversary_mobilises_us_to_move_europe_forward https://assets.nationbuilder.com/aldeparty/pages/6401/attachments/original/1712824919/ALDE_Party_2024_Manifesto.pdf?1712824920
