position_id,party_id,statement_id,position_label,position_numeric,source_type,text_snippet,source_link
IEP0001,SF,1,Completely agree,2,Older national or European election manifestos,"""Our public services must be funded through a taxation system that is fair, sustainable and just. Sinn Féin would also ensure that our tax base is sustainable, improves our public services, delivers for workers and families, and protects the public finances.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0002,SF,2,Completely agree,2,Older national or European election manifestos,"""The current payment rates on social protection schemes for people under 66 years of age, e.g. Jobseekers Allowance and One Parent Family Payment, are €42 short of what is necessary to attain a minimum, decent standard of living.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0003,SF,3,Completely disagree,-2,Older national or European election manifestos,"""The provision of housing, universal access to healthcare and investment in our communities must be funded through a taxation system that is fair, sustainable and just. How we tax should reflect the society we want to build. We will ensure that all workers will receive a tax cut while only the top 3% of individual earners will see any increase in their net income tax and guarantee no increase in VAT which hits those on low and middle incomes hardest.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0004,SF,4,Completely agree,2,Older national or European election manifestos,"""We will ensure that all workers will receive a tax cut while only the top 3% of individual earners will see any increase in their net income tax and guarantee no increase in VAT which hits those on low and middle incomes hardest.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0005,SF,5,Completely disagree,-2,Older national or European election manifestos,"""Sinn Féin will stop the pension age increase to 67 and return it to 65. We will prohibit mandatory retirement, ensuring that those who want to continue working can do so.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0006,SF,6,Neutral,0,Other programmatic and official party documentation,"""Households should not face an even heavier financial burden for the use of basic essentials, particularly not in the midst of a cost of living crisis. """,https://vote.sinnfein.ie/wp-content/uploads/2023/10/Sinn-Fein-Alternative-Budget2024.pdf
IEP0007,SF,7,Completely agree,2,Older national or European election manifestos,"""LGBT equality must be a visible objective of public policy particularly in the areas of health, education and justice. Sinn Féin in Government will introduce inclusivity-based proposals that combat the inequality of our past and present day but also create solutions that include our LGBTQI community in an Ireland of equals.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0008,SF,8,Tend to disagree,-1,Older national or European election manifestos,"""Drug and alcohol misuse are primarily public health issues. Harm reduction and prevention are guiding principles for Sinn Féin in the development of future drug and alcohol strategies.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0009,SF,9,Completely disagree,-2,Other programmatic and official party documentation,"""We need to be an inclusive society for all ethnic minorities, both indigenous - Irish Travellers - and those who more recently have made this island their home. Current hate crime legislation is outdated, not fit for purpose and has failed to prevent rising numbers of hate crimes. It is important new legislation based on international best practice is introduced to tackle hate crime in all its forms. We want a society that values and celebrates the diversity of our identities, religious or none, sexual orientation, gender, disability, age, or ethnic origin.""",https://cain.ulster.ac.uk/issues/politics/docs/sf/sf_2022-05-25_nia-man.pdf
IEP0010,SF,10,Completely disagree,-2,Older national or European election manifestos,"""Sinn Féin priorities: » Funding and implementing the National Maternity Strategy with an additional €75 million » A greater focus on care and diagnosis for cardiovascular disease in women » Education and awareness programmes for breast and cervical cancer and the repatriation of screening services » Free contraceptives, in all forms, and emergency contraception » Enacting safe access zones""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0011,SF,11,Tend to disagree,-1,Older national or European election manifestos,"""Sinn Féin is determined to avoid the failed policies that have fostered resentments and tensions in other countries. Successive Governments have failed to deliver what is needed in terms of housing and health delivery. They and they alone are responsible for their failures. Sinn Féin does not want open borders. We believe that all states must manage migration. Every state has to have an immigration system with well-functioning rules and regulation that everyone understands and that serves the interest of the people of the country. This system must have regard to how many people are needed to meet shortfalls in the labour market and how many people can be integrated effectively with adequate support and resourcing. Where we do need migrants, such as to fill vacancies in our health system, our migration system should facilitate this. The system must also protect people fleeing persecution and war, our international obligations must be fulfilled. We should end the Direct Provision system, treat people with dignity, process applications for asylum in a timely manner and implement the recommendations of the All-Party Oireachtas Committee Report.""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
IEP0012,SF,12,Tend to agree,1,Older national or European election manifestos,"""Building incrementally on the gender quota in Dáil elections towards 50% and ensuring at least 30% of Ministers and Junior Ministers are female in line with gender quotas"" ""We will pursue other overarching development-friendly policies in Government to complement our ODA spend. This will include climate friendly policies, gender equality programmes, international tax justice measures, support for fair trade and advancing the United Nations Guiding Principles on Business and Human Rights (UNGPs).""",https://www.sinnfein.ie/files/2020/Giving_Workers_and_Families_a_Break_-_A_Manifesto_for_Change.pdf
