commissioner_name,confidence,count
Andrius Kubilius,high,18
Andrius Kubilius,medium,23
Apostolos Tzitzikostas,high,17
Apostolos Tzitzikostas,medium,23
Christophe Hansen,high,10
Christophe Hansen,medium,22
Costas Kadis,high,15
Costas Kadis,medium,22
Dan Jørgensen,high,23
Dan Jørgensen,medium,22
Dubravka Šuica,high,11
Dubravka Šuica,medium,25
Ekaterina Zaharieva,high,15
Ekaterina Zaharieva,medium,21
Glenn Micallef,high,12
Glenn Micallef,medium,24
Hadja Lahbib,high,25
Hadja Lahbib,medium,21
Henna Virkkunen,high,19
Henna Virkkunen,medium,30
Jessika Roswall,high,12
Jessika Roswall,medium,21
Jozef Síkela,high,15
Jozef Síkela,medium,22
Kaja Kallas,high,16
Kaja Kallas,medium,24
Magnus Brunner,high,26
Magnus Brunner,medium,23
Maria Luís Albuquerque,high,15
Maria Luís Albuquerque,medium,19
Maroš Šefčovič,high,27
Maroš Šefčovič,medium,32
Marta Kos,high,11
Marta Kos,medium,20
Michael McGrath,high,24
Michael McGrath,medium,21
Olivér Várhelyi,high,14
Olivér Várhelyi,medium,23
Piotr Serafin,high,17
Piotr Serafin,medium,25
Raffaele Fitto,high,11
Raffaele Fitto,medium,27
Roxana Mînzatu,high,19
Roxana Mînzatu,medium,28
Stéphane Séjourné,high,20
Stéphane Séjourné,medium,27
Teresa Ribera,high,12
Teresa Ribera,medium,28
Valdis Dombrovskis,high,18
Valdis Dombrovskis,medium,23
Wopke Hoekstra,high,18
Wopke Hoekstra,medium,21
